"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4593","Creat product with invalid notes","sales-portal-api","Sat Jan 03 13:48:41 UTC 2026","passed","Sat Jan 03 13:48:45 UTC 2026","[API] [Sales Portal] [Products Negative test]","","",""
"","4601","Create product with 41 characters value in product name","sales-portal-api","Sat Jan 03 13:48:41 UTC 2026","passed","Sat Jan 03 13:48:46 UTC 2026","[API] [Sales Portal] [Products Negative test]","","",""
"","10511","Search by manufacturer","sales-portal-api","Sat Jan 03 13:48:58 UTC 2026","passed","Sat Jan 03 13:49:08 UTC 2026","[Sorting Product] [Search Product] > Search","","",""
"","13053","Should NOT update product without token","sales-portal-api","Sat Jan 03 13:51:01 UTC 2026","passed","Sat Jan 03 13:51:14 UTC 2026","[API] [Sales Portal] [Products] > NOT SMOKE","","",""
"","4669","Creat product with invalid price = 0","sales-portal-api","Sat Jan 03 13:48:41 UTC 2026","passed","Sat Jan 03 13:48:46 UTC 2026","[API] [Sales Portal] [Products Negative test]","","",""
"","10472","Search by price","sales-portal-api","Sat Jan 03 13:48:58 UTC 2026","passed","Sat Jan 03 13:49:08 UTC 2026","[Sorting Product] [Search Product] > Search","","",""
"","7986","Create Product","sales-portal-api","Sat Jan 03 13:48:41 UTC 2026","passed","Sat Jan 03 13:48:49 UTC 2026","[API] [Sales Portal] [Products]","","",""
"","917","NOT create product with invalid data","sales-portal-api","Sat Jan 03 13:48:41 UTC 2026","passed","Sat Jan 03 13:48:42 UTC 2026","[API] [Sales Portal] [Products]","","",""
"","58764","Pagination","sales-portal-api","Sat Jan 03 13:51:54 UTC 2026","broken","Sat Jan 03 13:52:52 UTC 2026","[API] [Sales Portal] [Products] Pagination > pagination","","",""
"","10916","Delete a deleted Product","sales-portal-api","Sat Jan 03 13:48:47 UTC 2026","passed","Sat Jan 03 13:48:58 UTC 2026","[API] [Sales Portal] [Products]","","",""
"","4571","Creat product with invalid price = 100000","sales-portal-api","Sat Jan 03 13:48:42 UTC 2026","passed","Sat Jan 03 13:48:46 UTC 2026","[API] [Sales Portal] [Products Negative test]","","",""
