"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7827","Get orders for customer","sales-portal-api","2026-01-03","passed","2026-01-03","[API] [Sales Portal] [Customers] > [Customer Orders]","","",""
"","2692","Get customer by existing ID","sales-portal-api","2026-01-03","passed","2026-01-03","[API] [Sales Portal] [Customers] > [Get By ID Positive]","","",""
"","10102","Update product with valid data: min valid price","sales-portal-api","2026-01-03","passed","2026-01-03","[API] [Sales Portal] [Products]","","",""
"","5111","Delete Product","sales-portal-api","2026-01-03","passed","2026-01-03","[API] [Sales Portal] [Products]","","",""
"","882","Get all notification","sales-portal-api","2026-01-03","passed","2026-01-03","[API][Notifications]","","",""
"","6824","Create product with 3 characters value in product name","sales-portal-api","2026-01-03","passed","2026-01-03","[API] [Sales Portal] [Products]","","",""
"","38465","Update a draft order with existing customer and existing products","sales-portal-api","2026-01-03","passed","2026-01-03","[API] [Sales Portal] [Orders] > [Update Positive]","","",""
"","11099","Smoke for all products (without filter parameters)","sales-portal-api","2026-01-03","passed","2026-01-03","[API] [Sales Portal] [Products]","","",""
"","1708","Get list of orders for customer without Orders","sales-portal-api","2026-01-03","passed","2026-01-03","[API] [Sales Portal] [Customers] > [Customer Orders]","","",""
"","5873","Create Product","sales-portal-api","2026-01-03","passed","2026-01-03","[API] [Sales Portal] [Products]","","",""
"","7052","Creat product with valid productData","sales-portal-api","2026-01-03","passed","2026-01-03","[API] [Sales Portal] [Products]","","",""
"","9961","Patch notifications/mark-all-read","sales-portal-api","2026-01-03","passed","2026-01-03","[API][Notifications]","","",""
"","10290","Update product with valid data: min valid amount","sales-portal-api","2026-01-03","passed","2026-01-03","[API] [Sales Portal] [Products]","","",""
"","13269","Update product with valid data: name with only one space","sales-portal-api","2026-01-03","passed","2026-01-03","[API] [Sales Portal] [Products]","","",""
"","6784","Create product with 40 characters value in product name","sales-portal-api","2026-01-03","passed","2026-01-03","[API] [Sales Portal] [Products]","","",""
"","11512","Receive Product from order","sales-portal-api","2026-01-03","passed","2026-01-03","[API] [Sales Portal] [Products]","","",""
"","10782","Update product with valid data: name with min valid length","sales-portal-api","2026-01-03","passed","2026-01-03","[API] [Sales Portal] [Products]","","",""
"","10330","Update product with valid data: max valid amount","sales-portal-api","2026-01-03","passed","2026-01-03","[API] [Sales Portal] [Products]","","",""
"","8041","Delete Order","sales-portal-api","2026-01-03","passed","2026-01-03","[API] [Sales Portal] [Orders]","","",""
"","2615","Delete comment by valid id","sales-portal-api","2026-01-03","passed","2026-01-03","[API] [Sales Portal] [Orders] [Comments] [Delete Comment By Id]","","",""
"","15991","Update product with valid data: empty notes","sales-portal-api","2026-01-03","passed","2026-01-03","[API] [Sales Portal] [Products]","","",""
"","1442","Search by email","sales-portal-api","2026-01-03","passed","2026-01-03","[API] [Sales Portal] [Customers]","","",""
"","10339","Update product with valid data: name with max valid length","sales-portal-api","2026-01-03","passed","2026-01-03","[API] [Sales Portal] [Products]","","",""
"","3813","Update a customer with valid data for all fields","sales-portal-api","2026-01-03","passed","2026-01-03","[API] [Sales Portal] [Customers] > [Update Positive]","","",""
"","724","Get order by valid id","sales-portal-api","2026-01-03","passed","2026-01-03","[API] [Sales Portal] [Orders] [Get Oreder By Id]","","",""
"","33248","Patch {notificationId}/read","sales-portal-api","2026-01-03","broken","2026-01-03","[API][Notifications]","","",""
"","1525","Create a customer with valid data with all fields","sales-portal-api","2026-01-03","passed","2026-01-03","[API] [Sales Portal] [Customers] > [Create Positive]","","",""
"","781","Get notification w/o token","sales-portal-api","2026-01-03","passed","2026-01-03","[API][Notifications]","","",""
"","15535","Update product with valid data: max valid notes length","sales-portal-api","2026-01-03","passed","2026-01-03","[API] [Sales Portal] [Products]","","",""
"","17161","Receive few Products from order","sales-portal-api","2026-01-03","passed","2026-01-03","[API] [Sales Portal] [Products]","","",""
"","1102","Add comment with valid length","sales-portal-api","2026-01-03","passed","2026-01-03","[API] [Sales Portal] [Orders] [Comments] [Add Comment]","","",""
"","10315","Update product with valid data: max valid price","sales-portal-api","2026-01-03","passed","2026-01-03","[API] [Sales Portal] [Products]","","",""
"","10918","Update product","sales-portal-api","2026-01-03","passed","2026-01-03","[API] [Sales Portal] [Products] > Smoke","","",""
