"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3613","Delete a deleted Product","sales-portal-api","Sat Dec 13 22:23:50 UTC 2025","passed","Sat Dec 13 22:23:54 UTC 2025","[API] [Sales Portal] [Products]","","",""
"","6697","Update product with invalid data: name with more than one space","sales-portal-api","Sat Dec 13 22:25:01 UTC 2025","passed","Sat Dec 13 22:25:08 UTC 2025","[API] [Sales Portal] [Products]","","",""
"","0","Update delivery details to non-existent order","sales-portal-api","Sat Dec 13 22:23:30 UTC 2025","skipped","Sat Dec 13 22:23:30 UTC 2025","[API] [Sales Portal] [Orders] > [Update delivery details of an order]","","",""
"","6779","Update product with invalid data: price more than max valid","sales-portal-api","Sat Dec 13 22:25:06 UTC 2025","passed","Sat Dec 13 22:25:12 UTC 2025","[API] [Sales Portal] [Products]","","",""
"","2938","Update customer with invalid country data type","sales-portal-api","Sat Dec 13 22:23:20 UTC 2025","passed","Sat Dec 13 22:23:23 UTC 2025","[API] [Sales Portal] [Customers] > [Update Negative]","","",""
"","0","Delete comment by valid without auth token","sales-portal-api","Sat Dec 13 22:23:30 UTC 2025","skipped","Sat Dec 13 22:23:30 UTC 2025","[API] [Sales Portal] [Orders] [Comments] [Delete Comment By Id]","","",""
"","3687","Create product with 40 characters value in product name","sales-portal-api","Sat Dec 13 22:23:46 UTC 2025","passed","Sat Dec 13 22:23:50 UTC 2025","[API] [Sales Portal] [Products]","","",""
"","6891","Update product","sales-portal-api","Sat Dec 13 22:24:54 UTC 2025","passed","Sat Dec 13 22:25:01 UTC 2025","[API] [Sales Portal] [Products] > Smoke","","",""
"","12537","Update an order with empty request body","sales-portal-api","Sat Dec 13 22:23:36 UTC 2025","passed","Sat Dec 13 22:23:49 UTC 2025","[API] [Sales Portal] [Orders] > [Update Negative]","","",""
"","481","Create customer with invalid email data type","sales-portal-api","Sat Dec 13 22:23:03 UTC 2025","passed","Sat Dec 13 22:23:04 UTC 2025","[API] [Sales Portal] [Customers] > [Create Negative]","","",""
"","2721","Get customer by non-existing ID","sales-portal-api","Sat Dec 13 22:23:01 UTC 2025","passed","Sat Dec 13 22:23:04 UTC 2025","[API] [Sales Portal] [Customers] > [Get By ID Negative]","","",""
"","0","Add comment with max valid length (250 symbols)","sales-portal-api","Sat Dec 13 22:23:23 UTC 2025","skipped","Sat Dec 13 22:23:23 UTC 2025","[API] [Sales Portal] [Orders] [Comments] [Add Comment]","","",""
"","3429","Should NOT update product with not existing id","sales-portal-api","Sat Dec 13 22:24:55 UTC 2025","passed","Sat Dec 13 22:24:59 UTC 2025","[API] [Sales Portal] [Products] > NOT SMOKE","","",""
"","2751","Create product with 41 characters value in product name","sales-portal-api","Sat Dec 13 22:23:37 UTC 2025","passed","Sat Dec 13 22:23:40 UTC 2025","[API] [Sales Portal] [Products Negative test]","","",""
"","1","Delete comment by already deleted id","sales-portal-api","Sat Dec 13 22:23:30 UTC 2025","skipped","Sat Dec 13 22:23:30 UTC 2025","[API] [Sales Portal] [Orders] [Comments] [Delete Comment By Id]","","",""
"","3687","Get Product By Id","sales-portal-api","Sat Dec 13 22:23:52 UTC 2025","passed","Sat Dec 13 22:23:56 UTC 2025","[API] [Sales Portal] [Products]","","",""
"","6444","Assign non-existent manager","sales-portal-api","Sat Dec 13 22:23:30 UTC 2025","passed","Sat Dec 13 22:23:36 UTC 2025","[API] [Sales Portal] [Orders] [Assign a manager to an order]","","",""
"","1","Add comment with length more than 250 symbols","sales-portal-api","Sat Dec 13 22:23:23 UTC 2025","skipped","Sat Dec 13 22:23:23 UTC 2025","[API] [Sales Portal] [Orders] [Comments] [Add Comment]","","",""
"","2720","Update a customer without authorization token","sales-portal-api","Sat Dec 13 22:23:22 UTC 2025","passed","Sat Dec 13 22:23:24 UTC 2025","[API] [Sales Portal] [Customers] > [Update Negative]","","",""
"","21348","SortField: price, sortOrder: asc","sales-portal-api","Sat Dec 13 22:24:33 UTC 2025","failed","Sat Dec 13 22:24:55 UTC 2025","[Sorting Product] [Search Product] > Sorting","","",""
"","3938","Update product with invalid data: name has invalid format","sales-portal-api","Sat Dec 13 22:25:00 UTC 2025","passed","Sat Dec 13 22:25:04 UTC 2025","[API] [Sales Portal] [Products]","","",""
"","2777","Creat product with invalid price = 0","sales-portal-api","Sat Dec 13 22:23:43 UTC 2025","passed","Sat Dec 13 22:23:46 UTC 2025","[API] [Sales Portal] [Products Negative test]","","",""
"","4928","Update a customer with valid data with minimal required fields","sales-portal-api","Sat Dec 13 22:23:13 UTC 2025","passed","Sat Dec 13 22:23:18 UTC 2025","[API] [Sales Portal] [Customers] > [Update Positive]","","",""
"","8820","SortField: name, sortOrder: desc","sales-portal-api","Sat Dec 13 22:24:43 UTC 2025","failed","Sat Dec 13 22:24:52 UTC 2025","[Sorting Product] [Search Product] > Sorting","","",""
"","2968","Update customer with invalid house data type","sales-portal-api","Sat Dec 13 22:23:27 UTC 2025","passed","Sat Dec 13 22:23:30 UTC 2025","[API] [Sales Portal] [Customers] > [Update Negative]","","",""
"","4889","Update a customer with field house","sales-portal-api","Sat Dec 13 22:23:11 UTC 2025","passed","Sat Dec 13 22:23:16 UTC 2025","[API] [Sales Portal] [Customers] > [Update Positive]","","",""
"","2945","Update customer with invalid phone data type","sales-portal-api","Sat Dec 13 22:23:24 UTC 2025","passed","Sat Dec 13 22:23:27 UTC 2025","[API] [Sales Portal] [Customers] > [Update Negative]","","",""
"","2722","Create a customer with valid data with all fields","sales-portal-api","Sat Dec 13 22:22:57 UTC 2025","passed","Sat Dec 13 22:23:00 UTC 2025","[API] [Sales Portal] [Customers] > [Create Positive]","","",""
"","2659","Get customer by existing ID with invalid token","sales-portal-api","Sat Dec 13 22:23:02 UTC 2025","passed","Sat Dec 13 22:23:05 UTC 2025","[API] [Sales Portal] [Customers] > [Get By ID Negative]","","",""
"","4737","get list with created customer","sales-portal-api","Sat Dec 13 22:23:09 UTC 2025","passed","Sat Dec 13 22:23:13 UTC 2025","Get customers all > positive","","",""
